Starting simulation N=40, F_final=0.5, alpha=0.001

--- Phase 1: Adiabatic F ramp (mu fixed at 5.0) ---
Mu-Ramp Step: 10350, Time in Mu-Ramp: 534.9, Current mu: 4.465, Max bond dimensions: 5
Mu-Ramp Step: 10400, Time in Mu-Ramp: 539.9, Current mu: 4.46, Max bond dimensions: 5
Mu-Ramp Step: 10450, Time in Mu-Ramp: 544.9, Current mu: 4.455, Max bond dimensions: 5
Mu-Ramp Step: 10500, Time in Mu-Ramp: 549.9, Current mu: 4.45, Max bond dimensions: 5
Mu-Ramp Step: 10550, Time in Mu-Ramp: 554.9, Current mu: 4.445, Max bond dimensions: 5
Averaging task (ID 6) for mu=4.5 completed. Results saved to output_N40_mu4.5.txt
Mu-Ramp Step: 10600, Time in Mu-Ramp: 559.9, Current mu: 4.44, Max bond dimensions: 5
Mu-Ramp Step: 10650, Time in Mu-Ramp: 564.9, Current mu: 4.435, Max bond dimensions: 5
Mu-Ramp Step: 10700, Time in Mu-Ramp: 569.9, Current mu: 4.43, Max bond dimensions: 5
Mu-Ramp Step: 10750, Time in Mu-Ramp: 574.9, Current mu: 4.425, Max bond dimensions: 5
Mu-Ramp Step: 10800, Time in Mu-Ramp: 579.9, Current mu: 4.42, Max bond dimensions: 5
Mu-Ramp Step: 10850, Time in Mu-Ramp: 584.9, Current mu: 4.415, Max bond dimensions: 5
Mu-Ramp Step: 10900, Time in Mu-Ramp: 589.9, Current mu: 4.41, Max bond dimensions: 5
Mu-Ramp Step: 10950, Time in Mu-Ramp: 594.9, Current mu: 4.405, Max bond dimensions: 5
Mu-Ramp Step: 11000, Time in Mu-Ramp: 599.9, Current mu: 4.4, Max bond dimensions: 5
Scheduling averaging task (ID 7) for mu=4.4 at overall step 11001.
Mu-Ramp Step: 11050, Time in Mu-Ramp: 604.9, Current mu: 4.395, Max bond dimensions: 5
Mu-Ramp Step: 11100, Time in Mu-Ramp: 609.9, Current mu: 4.39, Max bond dimensions: 5
Mu-Ramp Step: 11150, Time in Mu-Ramp: 614.9, Current mu: 4.385, Max bond dimensions: 5
Mu-Ramp Step: 11200, Time in Mu-Ramp: 619.9, Current mu: 4.38, Max bond dimensions: 5
Mu-Ramp Step: 11250, Time in Mu-Ramp: 624.9, Current mu: 4.375, Max bond dimensions: 5
Mu-Ramp Step: 11300, Time in Mu-Ramp: 629.9, Current mu: 4.37, Max bond dimensions: 5
Mu-Ramp Step: 11350, Time in Mu-Ramp: 634.9, Current mu: 4.365, Max bond dimensions: 5
Mu-Ramp Step: 11400, Time in Mu-Ramp: 639.9, Current mu: 4.36, Max bond dimensions: 5
Mu-Ramp Step: 11450, Time in Mu-Ramp: 644.9, Current mu: 4.355, Max bond dimensions: 5
Mu-Ramp Step: 11500, Time in Mu-Ramp: 649.9, Current mu: 4.35, Max bond dimensions: 5
Mu-Ramp Step: 11550, Time in Mu-Ramp: 654.9, Current mu: 4.345, Max bond dimensions: 5
Mu-Ramp Step: 11600, Time in Mu-Ramp: 659.9, Current mu: 4.34, Max bond dimensions: 5
Mu-Ramp Step: 11650, Time in Mu-Ramp: 664.9, Current mu: 4.335, Max bond dimensions: 5
Averaging task (ID 7) for mu=4.4 completed. Results saved to output_N40_mu4.4.txt
Mu-Ramp Step: 11700, Time in Mu-Ramp: 669.9, Current mu: 4.33, Max bond dimensions: 5
Mu-Ramp Step: 11750, Time in Mu-Ramp: 674.9, Current mu: 4.325, Max bond dimensions: 5
Mu-Ramp Step: 11800, Time in Mu-Ramp: 679.9, Current mu: 4.32, Max bond dimensions: 5
Mu-Ramp Step: 11850, Time in Mu-Ramp: 684.9, Current mu: 4.315, Max bond dimensions: 5
Mu-Ramp Step: 11900, Time in Mu-Ramp: 689.9, Current mu: 4.31, Max bond dimensions: 5
Mu-Ramp Step: 11950, Time in Mu-Ramp: 694.9, Current mu: 4.305, Max bond dimensions: 5
Mu-Ramp Step: 12000, Time in Mu-Ramp: 699.9, Current mu: 4.3, Max bond dimensions: 5
Scheduling averaging task (ID 8) for mu=4.3 at overall step 12001.
Mu-Ramp Step: 12050, Time in Mu-Ramp: 704.9, Current mu: 4.295, Max bond dimensions: 5
Mu-Ramp Step: 12100, Time in Mu-Ramp: 709.9, Current mu: 4.29, Max bond dimensions: 5
Mu-Ramp Step: 12150, Time in Mu-Ramp: 714.9, Current mu: 4.285, Max bond dimensions: 5
